Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:16Z , 0.01953125 , 0.0 , 0.98828125  , -0.98046875 , 0.8 , -0.01171875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:16Z , 0.01953125 , 0.0 , 0.98828125  , -0.784375 , 0.6400000000000001 , -0.009375000000000022
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:23Z , 0.01953125 , 0.0 , 0.9765625  , -0.98046875 , 0.8 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:23Z , 0.01953125 , 0.0 , 0.9765625  , -0.784375 , 0.6400000000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:24Z , 0.01953125 , 0.0 , 0.9765625  , -0.98046875 , 0.8 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:24Z , 0.01953125 , 0.0 , 0.9765625  , -0.784375 , 0.6400000000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:25Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.98046875 , 0.8015625000000001 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:25Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.784375 , 0.6428125000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:26Z , 0.01953125 , 0.0078125 , 0.98828125  , -0.98046875 , 0.8015625000000001 , -0.01171875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:26Z , 0.01953125 , 0.0078125 , 0.98828125  , -0.784375 , 0.6428125000000001 , -0.009375000000000022
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:27Z , 0.0078125 , 0.0 , 0.9765625  , -0.9921875 , 0.8 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:27Z , 0.0078125 , 0.0 , 0.9765625  , -0.7937500000000001 , 0.6400000000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:28Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.98046875 , 0.8015625000000001 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:28Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.784375 , 0.6428125000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:29Z , 0.0078125 , 0.0 , 0.9765625  , -0.9921875 , 0.8 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:29Z , 0.0078125 , 0.0 , 0.9765625  , -0.7937500000000001 , 0.6400000000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:30Z , 0.0078125 , 0.0078125 , 0.9765625  , -0.9921875 , 0.8015625000000001 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:30Z , 0.0078125 , 0.0078125 , 0.9765625  , -0.7937500000000001 , 0.6428125000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:30Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.98046875 , 0.8015625000000001 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:31Z , 0.01953125 , 0.0 , 0.9765625  , -0.98046875 , 0.8 , -0.0234375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:30Z , 0.01953125 , 0.0078125 , 0.9765625  , -0.784375 , 0.6428125000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:50:31Z , 0.01953125 , 0.0 , 0.9765625  , -0.784375 , 0.6400000000000001 , -0.018750000000000044
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:43Z , 0.06640625 , -0.94921875 , -0.01953125  , -0.93359375 , 0.6101562500000001 , -1.01953125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:43Z , 0.06640625 , -0.94921875 , -0.01953125  , -0.7468750000000001 , 0.29828125000000016 , -0.815625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:44Z , -0.01953125 , -1.2890625 , -0.26953125  , -1.01953125 , 0.5421875 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:44Z , -0.01953125 , -1.2890625 , -0.26953125  , -0.815625 , 0.17593750000000014 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:45Z , -0.0390625 , -0.859375 , 0.359375  , -1.0390625 , 0.628125 , -0.640625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:45Z , -0.0390625 , -0.859375 , 0.359375  , -0.83125 , 0.33062500000000006 , -0.5125000000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:49Z , -0.13671875 , -0.8671875 , 0.21875  , -1.13671875 , 0.6265625000000001 , -0.78125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:49Z , -0.13671875 , -0.8671875 , 0.21875  , -0.909375 , 0.3278125000000001 , -0.625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:50Z , -0.12890625 , -0.70703125 , 0.62890625  , -1.12890625 , 0.6585937500000001 , -0.37109375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:50Z , -0.12890625 , -0.70703125 , 0.62890625  , -0.9031250000000001 , 0.38546875000000014 , -0.296875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:51Z , -0.078125 , -0.8671875 , 0.38671875  , -1.078125 , 0.6265625000000001 , -0.61328125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:51Z , -0.078125 , -0.8671875 , 0.38671875  , -0.8625 , 0.3278125000000001 , -0.4906250000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:52Z , -0.44921875 , -0.8671875 , 0.12890625  , -1.44921875 , 0.6265625000000001 , -0.87109375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:52Z , -0.44921875 , -0.8671875 , 0.12890625  , -1.159375 , 0.3278125000000001 , -0.696875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:54Z , 0.078125 , -0.75 , 0.296875  , -0.921875 , 0.6500000000000001 , -0.703125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:54Z , 0.078125 , -0.75 , 0.296875  , -0.7375 , 0.37000000000000016 , -0.5625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:55Z , -0.5078125 , -0.9296875 , 0.02734375  , -1.5078125 , 0.6140625000000001 , -0.97265625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:55Z , -0.5078125 , -0.9296875 , 0.02734375  , -1.20625 , 0.3053125000000001 , -0.7781250000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:56Z , 0.46875 , -0.7890625 , 0.3984375  , -0.53125 , 0.6421875000000001 , -0.6015625
